X,CH1,
Second,Volt,
2.20000e-05,-2.08e-03,
2.21000e-05,2.00e-03,
2.22000e-05,-2.08e-03,
2.23000e-05,2.16e-03,
2.24000e-05,2.08e-03,
2.25000e-05,-2.00e-03,
2.26000e-05,2.08e-03,
2.27000e-05,-1.92e-03,
2.28000e-05,-1.84e-03,
2.29000e-05,2.16e-03,
2.30000e-05,-2.08e-03,
2.31000e-05,1.84e-03,
2.32000e-05,-2.24e-03,
2.33000e-05,1.84e-03,
2.34000e-05,2.00e-03,
2.35000e-05,-1.76e-03,
2.36000e-05,-2.08e-03,
2.37000e-05,1.84e-03,
2.38000e-05,-1.60e-03,
2.39000e-05,1.84e-03,
2.40000e-05,1.52e-03,
2.41000e-05,-1.84e-03,
2.42000e-05,-1.92e-03,
2.43000e-05,1.68e-03,
2.44000e-05,1.52e-03,
2.45000e-05,-2.08e-03,
2.46000e-05,-1.76e-03,
2.47000e-05,1.76e-03,
2.48000e-05,-1.76e-03,
2.49000e-05,1.76e-03,
2.50000e-05,1.52e-03,
2.51000e-05,-2.00e-03,
2.52000e-05,1.04e-03,
2.53000e-05,-2.08e-03,
2.54000e-05,-2.08e-03,
2.55000e-05,8.80e-04,
2.56000e-05,-1.44e-03,
2.57000e-05,1.84e-03,
2.58000e-05,-1.44e-03,
2.59000e-05,1.92e-03,
2.60000e-05,-8.80e-04,
2.61000e-05,2.08e-03,
2.62000e-05,1.68e-03,
2.63000e-05,-1.84e-03,
2.64000e-05,-1.92e-03,
2.65000e-05,1.04e-03,
2.66000e-05,1.04e-03,
2.67000e-05,-2.08e-03,
2.68000e-05,1.28e-03,
2.69000e-05,-1.20e-03,
2.70000e-05,1.36e-03,
2.71000e-05,-7.20e-04,
2.72000e-05,1.20e-03,
2.73000e-05,-1.12e-03,
2.74000e-05,1.36e-03,
2.75000e-05,-1.44e-03,
2.76000e-05,8.00e-04,
2.77000e-05,-1.68e-03,
2.78000e-05,-1.60e-03,
2.79000e-05,9.60e-04,
2.80000e-05,-1.12e-03,
2.81000e-05,1.36e-03,
2.82000e-05,-1.20e-03,
2.83000e-05,1.52e-03,
2.84000e-05,1.36e-03,
2.85000e-05,-1.60e-03,
2.86000e-05,1.04e-03,
2.87000e-05,-1.84e-03,
2.88000e-05,-1.76e-03,
2.89000e-05,1.20e-03,
2.90000e-05,-1.76e-03,
2.91000e-05,1.20e-03,
2.92000e-05,1.52e-03,
2.93000e-05,-1.60e-03,
2.94000e-05,1.44e-03,
2.95000e-05,-1.52e-03,
2.96000e-05,1.36e-03,
2.97000e-05,-1.60e-03,
2.98000e-05,1.36e-03,
2.99000e-05,-1.92e-03,
3.00000e-05,-1.92e-03,
3.01000e-05,1.36e-03,
3.02000e-05,-1.76e-03,
3.03000e-05,1.52e-03,
3.04000e-05,1.68e-03,
3.05000e-05,-1.92e-03,
3.06000e-05,1.52e-03,
3.07000e-05,-1.92e-03,
3.08000e-05,-1.60e-03,
3.09000e-05,1.52e-03,
3.10000e-05,-1.76e-03,
3.11000e-05,1.68e-03,
3.12000e-05,-1.84e-03,
3.13000e-05,1.68e-03,
3.14000e-05,-1.92e-03,
3.15000e-05,1.84e-03,
3.16000e-05,-1.76e-03,
3.17000e-05,1.84e-03,
3.18000e-05,1.44e-03,
3.19000e-05,-2.08e-03,
3.20000e-05,-1.92e-03,
3.21000e-05,1.52e-03,
3.22000e-05,-1.92e-03,
3.23000e-05,1.84e-03,
3.24000e-05,-2.08e-03,
3.25000e-05,1.60e-03,
3.26000e-05,2.00e-03,
3.27000e-05,-1.92e-03,
3.28000e-05,-1.76e-03,
3.29000e-05,2.00e-03,
3.30000e-05,1.84e-03,
3.31000e-05,-1.84e-03,
3.32000e-05,1.52e-03,
3.33000e-05,-2.24e-03,
3.34000e-05,1.52e-03,
3.35000e-05,-2.24e-03,
3.36000e-05,-2.24e-03,
3.37000e-05,1.52e-03,
3.38000e-05,1.68e-03,
3.39000e-05,-2.24e-03,
3.40000e-05,-2.08e-03,
3.41000e-05,1.52e-03,
3.42000e-05,-2.16e-03,
3.43000e-05,1.84e-03,
3.44000e-05,1.52e-03,
3.45000e-05,-2.08e-03,
3.46000e-05,1.68e-03,
3.47000e-05,-1.84e-03,
3.48000e-05,-2.24e-03,
3.49000e-05,1.52e-03,
3.50000e-05,-2.00e-03,
3.51000e-05,1.92e-03,
3.52000e-05,1.68e-03,
3.53000e-05,-1.60e-03,
3.54000e-05,1.36e-03,
3.55000e-05,-1.92e-03,
3.56000e-05,1.20e-03,
3.57000e-05,-2.08e-03,
3.58000e-05,1.20e-03,
3.59000e-05,-2.24e-03,
3.60000e-05,-2.24e-03,
3.61000e-05,1.04e-03,
3.62000e-05,-1.84e-03,
3.63000e-05,1.68e-03,
3.64000e-05,-1.12e-03,
3.65000e-05,2.08e-03,
3.66000e-05,1.84e-03,
3.67000e-05,-2.16e-03,
3.68000e-05,-1.92e-03,
3.69000e-05,1.84e-03,
3.70000e-05,2.08e-03,
3.71000e-05,-1.76e-03,
3.72000e-05,-1.92e-03,
3.73000e-05,1.84e-03,
3.74000e-05,-2.40e-03,
3.75000e-05,1.68e-03,
3.76000e-05,2.32e-03,
3.77000e-05,-1.84e-03,
3.78000e-05,1.84e-03,
3.79000e-05,-2.08e-03,
3.80000e-05,1.84e-03,
3.81000e-05,-2.16e-03,
3.82000e-05,1.84e-03,
3.83000e-05,-2.24e-03,
3.84000e-05,1.84e-03,
3.85000e-05,-1.92e-03,
3.86000e-05,-2.24e-03,
3.87000e-05,1.84e-03,
3.88000e-05,-2.32e-03,
3.89000e-05,1.84e-03,
3.90000e-05,-2.08e-03,
3.91000e-05,1.84e-03,
3.92000e-05,-2.16e-03,
3.93000e-05,1.92e-03,
3.94000e-05,1.68e-03,
3.95000e-05,-2.16e-03,
3.96000e-05,-2.40e-03,
3.97000e-05,2.00e-03,
3.98000e-05,1.84e-03,
3.99000e-05,-2.08e-03,
4.00000e-05,1.68e-03,
4.01000e-05,-2.24e-03,
4.02000e-05,-2.08e-03,
4.03000e-05,1.84e-03,
4.04000e-05,1.84e-03,
4.05000e-05,-2.08e-03,
4.06000e-05,-2.08e-03,
4.07000e-05,2.00e-03,
4.08000e-05,-1.84e-03,
4.09000e-05,2.96e-03,
4.10000e-05,1.20e-03,
4.11000e-05,-2.72e-03,
4.12000e-05,2.48e-03,
4.13000e-05,-2.80e-03,
4.14000e-05,1.68e-03,
4.15000e-05,-2.88e-03,
4.16000e-05,-2.08e-03,
4.17000e-05,2.16e-03,
4.18000e-05,-2.08e-03,
4.19000e-05,2.48e-03,
4.20000e-05,-1.28e-03,
4.21000e-05,2.64e-03,
4.22000e-05,2.48e-03,
4.23000e-05,-4.32e-03,
4.24000e-05,2.72e-03,
4.25000e-05,-2.88e-03,
4.26000e-05,-2.40e-03,
4.27000e-05,1.76e-03,
4.28000e-05,-2.80e-03,
4.29000e-05,2.16e-03,
4.30000e-05,3.28e-03,
4.31000e-05,-1.36e-03,
4.32000e-05,2.32e-03,
4.33000e-05,-2.88e-03,
4.34000e-05,1.68e-03,
4.35000e-05,-2.56e-03,
4.36000e-05,1.36e-03,
4.37000e-05,-2.88e-03,
4.38000e-05,-2.56e-03,
4.39000e-05,2.96e-03,
4.40000e-05,2.48e-03,
4.41000e-05,-1.84e-03,
4.42000e-05,-1.92e-03,
4.43000e-05,2.32e-03,
4.44000e-05,1.84e-03,
4.45000e-05,-2.40e-03,
4.46000e-05,1.84e-03,
4.47000e-05,-2.56e-03,
4.48000e-05,1.60e-03,
4.49000e-05,-2.40e-03,
4.50000e-05,2.16e-03,
4.51000e-05,-2.16e-03,
4.52000e-05,-1.44e-03,
4.53000e-05,1.84e-03,
4.54000e-05,2.08e-03,
4.55000e-05,-2.40e-03,
4.56000e-05,1.12e-03,
4.57000e-05,-2.08e-03,
4.58000e-05,-2.08e-03,
4.59000e-05,2.00e-03,
4.60000e-05,2.08e-03,
4.61000e-05,-2.24e-03,
4.62000e-05,-2.08e-03,
4.63000e-05,1.60e-03,
4.64000e-05,-8.00e-04,
4.65000e-05,8.80e-04,
4.66000e-05,6.40e-04,
4.67000e-05,-4.00e-04,
4.68000e-05,5.60e-04,
4.69000e-05,-8.00e-04,
4.70000e-05,-5.60e-04,
4.71000e-05,8.00e-04,
4.72000e-05,5.60e-04,
4.73000e-05,-8.00e-05,
4.74000e-05,1.04e-03,
4.75000e-05,-1.28e-03,
4.76000e-05,-2.08e-03,
4.77000e-05,1.92e-03,
4.78000e-05,-2.40e-03,
4.79000e-05,2.32e-03,
4.80000e-05,-1.52e-03,
4.81000e-05,1.84e-03,
4.82000e-05,1.52e-03,
4.83000e-05,-2.56e-03,
4.84000e-05,-2.48e-03,
4.85000e-05,1.92e-03,
4.86000e-05,-2.24e-03,
4.87000e-05,1.76e-03,
4.88000e-05,-2.40e-03,
4.89000e-05,2.16e-03,
4.90000e-05,-2.24e-03,
4.91000e-05,2.08e-03,
4.92000e-05,2.08e-03,
4.93000e-05,-1.76e-03,
4.94000e-05,-2.40e-03,
4.95000e-05,1.92e-03,
4.96000e-05,-2.40e-03,
4.97000e-05,2.00e-03,
4.98000e-05,-2.24e-03,
4.99000e-05,2.08e-03,
5.00000e-05,-2.08e-03,
5.01000e-05,2.24e-03,
5.02000e-05,-2.08e-03,
5.03000e-05,2.32e-03,
