X,CH1,
Second,Volt,
3.44000e-05,-7.80e-02,
3.45000e-05,7.59e-02,
3.46000e-05,-7.40e-02,
3.47000e-05,7.99e-02,
3.48000e-05,7.99e-02,
3.49000e-05,-7.40e-02,
3.50000e-05,7.99e-02,
3.51000e-05,-7.40e-02,
3.52000e-05,-7.40e-02,
3.53000e-05,7.99e-02,
3.54000e-05,-7.20e-02,
3.55000e-05,7.99e-02,
3.56000e-05,7.59e-02,
3.57000e-05,-7.80e-02,
3.58000e-05,7.99e-02,
3.59000e-05,-7.40e-02,
3.60000e-05,-7.59e-02,
3.61000e-05,7.59e-02,
3.62000e-05,7.59e-02,
3.63000e-05,-7.80e-02,
3.64000e-05,-6.80e-02,
3.65000e-05,7.99e-02,
3.66000e-05,-7.80e-02,
3.67000e-05,7.99e-02,
3.68000e-05,7.59e-02,
3.69000e-05,-7.59e-02,
3.70000e-05,-7.00e-02,
3.71000e-05,7.99e-02,
3.72000e-05,7.80e-02,
3.73000e-05,-7.80e-02,
3.74000e-05,-7.40e-02,
3.75000e-05,7.99e-02,
3.76000e-05,7.99e-02,
3.77000e-05,-6.80e-02,
3.78000e-05,7.59e-02,
3.79000e-05,-7.80e-02,
3.80000e-05,-8.19e-02,
3.81000e-05,6.80e-02,
3.82000e-05,7.00e-02,
3.83000e-05,-7.99e-02,
3.84000e-05,-7.59e-02,
3.85000e-05,7.40e-02,
3.86000e-05,-7.40e-02,
3.87000e-05,7.80e-02,
3.88000e-05,-6.59e-02,
3.89000e-05,7.80e-02,
3.90000e-05,7.59e-02,
3.91000e-05,-7.80e-02,
3.92000e-05,-7.99e-02,
3.93000e-05,7.59e-02,
3.94000e-05,7.99e-02,
3.95000e-05,-7.80e-02,
3.96000e-05,-7.00e-02,
3.97000e-05,7.99e-02,
3.98000e-05,7.20e-02,
3.99000e-05,-7.59e-02,
4.00000e-05,7.99e-02,
4.01000e-05,-7.80e-02,
4.02000e-05,7.59e-02,
4.03000e-05,-7.80e-02,
4.04000e-05,7.59e-02,
4.05000e-05,-7.40e-02,
4.06000e-05,7.99e-02,
4.07000e-05,-7.59e-02,
4.08000e-05,7.99e-02,
4.09000e-05,-7.59e-02,
4.10000e-05,7.99e-02,
4.11000e-05,-7.80e-02,
4.12000e-05,-7.80e-02,
4.13000e-05,7.80e-02,
4.14000e-05,-7.40e-02,
4.15000e-05,7.59e-02,
4.16000e-05,-7.40e-02,
4.17000e-05,7.99e-02,
4.18000e-05,-7.80e-02,
4.19000e-05,7.59e-02,
4.20000e-05,-7.40e-02,
4.21000e-05,7.99e-02,
4.22000e-05,-7.40e-02,
4.23000e-05,7.80e-02,
4.24000e-05,-7.40e-02,
4.25000e-05,7.80e-02,
4.26000e-05,-7.80e-02,
4.27000e-05,7.80e-02,
4.28000e-05,7.80e-02,
4.29000e-05,-7.40e-02,
4.30000e-05,7.80e-02,
4.31000e-05,-7.80e-02,
4.32000e-05,-7.59e-02,
4.33000e-05,7.99e-02,
4.34000e-05,6.80e-02,
4.35000e-05,-7.80e-02,
4.36000e-05,-6.00e-02,
4.37000e-05,7.80e-02,
4.38000e-05,5.80e-02,
4.39000e-05,-7.59e-02,
4.40000e-05,-6.20e-02,
4.41000e-05,7.80e-02,
4.42000e-05,6.80e-02,
4.43000e-05,-7.80e-02,
4.44000e-05,-7.80e-02,
4.45000e-05,7.40e-02,
4.46000e-05,-5.40e-02,
4.47000e-05,7.99e-02,
4.48000e-05,7.59e-02,
4.49000e-05,-6.80e-02,
4.50000e-05,6.00e-02,
4.51000e-05,-7.59e-02,
4.52000e-05,-7.80e-02,
4.53000e-05,4.80e-02,
4.54000e-05,-7.59e-02,
4.55000e-05,5.60e-02,
4.56000e-05,-7.40e-02,
4.57000e-05,5.80e-02,
4.58000e-05,5.60e-02,
4.59000e-05,-7.80e-02,
4.60000e-05,4.80e-02,
4.61000e-05,-7.80e-02,
4.62000e-05,-7.59e-02,
4.63000e-05,6.40e-02,
